genotipo	sitio	anio	HM	EX	PM	NS	IK	FR	VIS	PD	BG	ATL	amb
Defra	MUSA	2007	4.3	79.4	11.1	687	39	78	1.53	295	274	78	MUSA _ 2007
Diamant	MUSA	2007	4.5	80.6	10.2	639	39	73	1.54	244	385	76	MUSA _ 2007
FNC1	MUSA	2007	4.2	78.8	10.8	587	34	59	1.65	238	470	75	MUSA _ 2007
FNC61	MUSA	2007	5.2	78.7	10.8	644	37	63	1.53	293	330	77	MUSA _ 2007
FNCI22	MUSA	2007	5.7	75.7	10.3	507	31	42	1.97	203	723	60	MUSA _ 2007
Gull	MUSA	2007	4.9	76.9	13.8	637	29	42	1.74	270	687	80	MUSA _ 2007
Haisa	MUSA	2007	4.5	79.3	11.4	598	33	58	1.74	293	657	80	MUSA _ 2007
Hanna	MUSA	2007	4.7	79.2	11	662	37	66	1.6	335	398	80	MUSA _ 2007
Harring	MUSA	2007	4.3	81.6	9.4	766	51	78	1.53	309	315	87	MUSA _ 2007
Isaria	MUSA	2007	6	77.5	12.3	639	32	32	2.35	293	743	74	MUSA _ 2007
Karl	MUSA	2007	4.2	83.2	9	716	50	84	1.55	347	142	87	MUSA _ 2007
Kenia	MUSA	2007	4.8	78.3	10.9	563	32	63	1.73	211	614	78	MUSA _ 2007
Lisa	MUSA	2007	4.4	79.5	10.2	576	35	64	1.67	234	660	80	MUSA _ 2007
Logan	MUSA	2007	4.3	80.6	9.2	641	43	79	1.58	334	145	83	MUSA _ 2007
Magn102	MUSA	2007	4.4	77.3	10.5	547	33	54	1.8	204	256	73	MUSA _ 2007
Magn104	MUSA	2007	4.7	79.2	10.2	NA	34	58	1.68	233	674	75	MUSA _ 2007
MaltHed	MUSA	2007	4	79.3	10.4	657	39	71	1.63	291	479	77	MUSA _ 2007
MN599	MUSA	2007	5.4	80.1	10.4	598	36	63	1.57	193	485	80	MUSA _ 2007
Mn610	MUSA	2007	4.1	79.9	10.9	617	35	71	1.58	215	446	80	MUSA _ 2007
ND10277	MUSA	2007	4.3	82.3	9.8	768	49	71	1.55	272	391	86	MUSA _ 2007
Perun	MUSA	2007	4.9	81.2	9.9	710	45	81	1.53	312	274	80	MUSA _ 2007
Pirolin	MUSA	2007	5	78.3	10.1	536	33	56	1.68	299	682	77	MUSA _ 2007
PlArcher	MUSA	2007	5.2	76.5	12.9	740	36	48	1.64	282	652	75	MUSA _ 2007
Prior	MUSA	2007	4.6	77.4	9.6	586	38	61	1.71	203	709	77	MUSA _ 2007
QAyelen	MUSA	2007	4.5	79.6	11.2	705	39	73	1.57	272	469	78	MUSA _ 2007
QPampa	MUSA	2007	6.9	77.8	10.4	646	36	35	1.71	321	368	77	MUSA _ 2007
Quebrac	MUSA	2007	5	79.2	10.5	573	34	70	1.56	306	395	77	MUSA _ 2007
Scarlet	MUSA	2007	4.6	80.7	10	603	38	76	1.52	246	335	83	MUSA _ 2007
Stirlin	MUSA	2007	4.6	79.2	10.6	626	37	66	1.57	349	663	79	MUSA _ 2007
Trumpf	MUSA	2007	4.5	81.5	10.8	693	40	78	1.51	282	230	82	MUSA _ 2007
Union	MUSA	2007	4.5	79.8	10.9	586	34	61	1.71	308	734	73	MUSA _ 2007
Villa	MUSA	2007	4.3	79.6	10.5	669	40	70	1.58	191	121	80	MUSA _ 2007
Volla	MUSA	2007	4.1	79.9	10	509	32	66	1.62	166	538	79	MUSA _ 2007
WMR1	MUSA	2007	4.7	78.5	10.6	590	35	53	1.65	342	633	78	MUSA _ 2007
Ymer	MUSA	2007	4.7	79.2	NA	500	30	52	1.77	281	637	76	MUSA _ 2007
Ambev48	MUSA	2008	5.2	79.7	13.9	738	33	33	2.01	179	789	82	MUSA _ 2008
Ana	MUSA	2008	5.7	73.7	16.1	736	29	28	1.85	337	637	75	MUSA _ 2008
Atlas57	MUSA	2008	4.3	72.3	13.4	538	25	25	1.95	173	630	78	MUSA _ 2008
Aurore	MUSA	2008	4.5	73.7	15.4	632	26	32	1.93	301	804	81	MUSA _ 2008
Barones	MUSA	2008	5	73.4	14.7	596	25	29	1.83	298	615	76	MUSA _ 2008
BCD47	MUSA	2008	4.4	78.5	13.3	861	41	24	1.68	321	268	82	MUSA _ 2008
Beka	MUSA	2008	5.2	77.5	12.9	691	33	51	1.85	286	720	77	MUSA _ 2008
Berolin	MUSA	2008	5.1	76.2	13.8	746	34	46	1.68	170	731	79	MUSA _ 2008
Bido	MUSA	2008	4.4	74.8	13.8	663	30	47	2.25	234	816	80	MUSA _ 2008
Bonita	MUSA	2008	6.2	73.1	16	611	24	19	2.14	403	852	81	MUSA _ 2008
Bowman	MUSA	2008	4.8	78.1	12.6	634	31	34	2.44	201	721	81	MUSA _ 2008
Br2	MUSA	2008	5.2	75	15.2	626	26	30	2.25	215	887	80	MUSA _ 2008
C8730	MUSA	2008	4.8	73.4	14.3	630	28	41	2.14	229	711	76	MUSA _ 2008
C8806	MUSA	2008	5.2	74.3	14.9	536	23	14	2.64	267	976	76	MUSA _ 2008
C8828	MUSA	2008	6	75.2	14	617	28	15	1.99	327	656	77	MUSA _ 2008
C9035	MUSA	2008	6	76.2	14	663	30	43	1.76	294	525	78	MUSA _ 2008
C9038	MUSA	2008	4.7	76	13.6	532	24	44	2.13	233	793	75	MUSA _ 2008
C9046	MUSA	2008	6.2	76.7	13.5	610	28	23	1.74	260	797	78	MUSA _ 2008
C9053	MUSA	2008	4.9	75.7	14.7	637	27	44	1.94	215	818	78	MUSA _ 2008
C9172	MUSA	2008	5.4	74.9	14.3	600	26	33	2.12	214	812	76	MUSA _ 2008
C9173	MUSA	2008	4.8	75.6	13.2	609	29	41	2.2	167	718	75	MUSA _ 2008
C9315	MUSA	2008	5.4	73.1	14.6	493	21	17	2.43	298	943	72	MUSA _ 2008
C9528	MUSA	2008	5.3	77.3	13.9	709	32	38	1.76	436	482	83	MUSA _ 2008
C9616	MUSA	2008	5.2	72.3	15.1	553	23	19	2.4	235	925	77	MUSA _ 2008
Carumbe	MUSA	2008	4.5	77.1	13.2	684	33	42	2.08	246	641	82	MUSA _ 2008
Cheri	MUSA	2008	5.4	77.7	15.1	842	35	59	1.61	394	229	81	MUSA _ 2008
CLE176	MUSA	2008	4.7	74	14	697	31	40	1.82	275	581	81	MUSA _ 2008
CLE178	MUSA	2008	5.5	80.5	13.5	680	32	39	1.53	296	384	79	MUSA _ 2008
CLE202	MUSA	2008	4.8	77.3	13.6	665	31	21	2.01	235	297	76	MUSA _ 2008
CLE203	MUSA	2008	5.5	74.3	14.6	594	25	40	2.19	160	600	78	MUSA _ 2008
CLE226	MUSA	2008	5.3	76.4	14.8	621	26	38	1.89	330	273	78	MUSA _ 2008
CLE232	MUSA	2008	4.4	77	13.6	683	31	61	2.1	154	721	78	MUSA _ 2008
CLE233	MUSA	2008	4.9	77.4	13.2	663	32	63	1.86	177	446	80	MUSA _ 2008
Clipper	MUSA	2008	5.1	76.6	15.1	834	34	35	1.8	279	459	78	MUSA _ 2008
Clivia	MUSA	2008	4.8	76.1	14.3	577	25	42	2.1	191	774	76	MUSA _ 2008
Danuta	MUSA	2008	5.1	75.4	15.3	613	25	46	2.11	254	480	76	MUSA _ 2008
Dayman	MUSA	2008	5.4	78.2	12.6	657	33	40	1.94	315	576	83	MUSA _ 2008
Defra	MUSA	2008	4.8	76.4	14.5	NA	NA	49	1.74	341	426	79	MUSA _ 2008
Diamant	MUSA	2008	4.8	74.6	16.5	821	31	40	1.63	353	467	75	MUSA _ 2008
FNC1	MUSA	2008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MUSA _ 2008
FNC61	MUSA	2008	5	76.8	14.8	665	28	39	1.81	212	548	76	MUSA _ 2008
FNCI22	MUSA	2008	5.4	74.9	15.2	715	30	43	1.71	239	448	75	MUSA _ 2008
Gull	MUSA	2008	4.9	75	16.2	736	28	27	1.67	201	852	81	MUSA _ 2008
Haisa	MUSA	2008	5	73.1	17.5	692	25	29	2.05	369	810	78	MUSA _ 2008
Hanna	MUSA	2008	6.1	75.1	14.4	633	27	15	2.01	336	619	78	MUSA _ 2008
Harring	MUSA	2008	4.4	76.1	15.7	992	40	43	1.58	423	218	82	MUSA _ 2008
Isaria	MUSA	2008	4.4	73.1	17	750	28	31	1.98	297	768	78	MUSA _ 2008
Karl	MUSA	2008	4.5	79.6	12	745	39	66	1.81	346	359	83	MUSA _ 2008
Kenia	MUSA	2008	4.5	73.7	14.8	591	25	29	2.4	155	936	76	MUSA _ 2008
Lisa	MUSA	2008	4.7	74.3	14.6	641	27	38	2.12	307	777	79	MUSA _ 2008
Logan	MUSA	2008	5	77	13.1	687	33	49	1.87	254	565	77	MUSA _ 2008
Magn102	MUSA	2008	6.2	73.1	15.8	596	24	24	2.32	257	834	73	MUSA _ 2008
Magn104	MUSA	2008	5	73.3	14.9	597	25	13	2.13	281	836	74	MUSA _ 2008
MaltHed	MUSA	2008	5.5	76	13.5	712	33	27	2.23	253	750	78	MUSA _ 2008
MN599	MUSA	2008	5.2	76.5	14.2	606	27	42	1.81	171	658	78	MUSA _ 2008
Mn610	MUSA	2008	4.8	76.8	12.7	593	29	45	2.07	138	710	79	MUSA _ 2008
ND10277	MUSA	2008	5.6	80.3	12.3	828	42	44	1.92	270	465	86	MUSA _ 2008
Perun	MUSA	2008	4.6	77.1	13.8	715	32	37	1.89	210	587	73	MUSA _ 2008
Pirolin	MUSA	2008	5.5	75	13.9	684	31	33	1.76	372	396	77	MUSA _ 2008
PlArcher	MUSA	2008	5.9	69.9	18.3	745	25	32	1.87	300	948	76	MUSA _ 2008
Prior	MUSA	2008	5.5	75.7	14.1	636	28	18	1.93	204	519	78	MUSA _ 2008
QAyelen	MUSA	2008	5	77.8	11.9	716	38	63	2.02	148	585	81	MUSA _ 2008
QPampa	MUSA	2008	4.9	74.5	15.9	732	29	33	1.73	330	501	79	MUSA _ 2008
Quebrac	MUSA	2008	6.2	74.4	14.5	560	24	17	1.96	274	727	74	MUSA _ 2008
Scarlet	MUSA	2008	5.4	77.2	13.8	620	28	46	1.72	272	441	82	MUSA _ 2008
Stirlin	MUSA	2008	4.5	75.6	14.6	671	29	32	2.07	377	791	79	MUSA _ 2008
Trumpf	MUSA	2008	6	75	15.6	NA	NA	41	1.73	324	520	79	MUSA _ 2008
Union	MUSA	2008	4.5	74.6	15.4	704	29	44	1.67	350	495	75	MUSA _ 2008
Villa	MUSA	2008	4.6	73	16.6	720	27	31	1.84	227	643	78	MUSA _ 2008
Volla	MUSA	2008	4.9	73.5	16.2	661	25	35	1.82	217	797	77	MUSA _ 2008
WMR1	MUSA	2008	4.4	74.1	14.6	688	29	28	1.95	278	712	78	MUSA _ 2008
Ymer	MUSA	2008	5	74.8	14.3	556	24	31	2.18	216	833	73	MUSA _ 2008
